### 营业专业用户诉求分析报告

**市场营销部**
**日期：2025 年 12 月 05 日**

#### 一、总体情况

通过对 2025-09-01 至 2025-09-30 期间收到 390 条的客诉明细的分析，用户的诉求分布为：
- 业务咨询 281 条，占比 72.05%
- 业务进度 44 条，占比 11.28%
- 其他 30 条，占比 7.69%
- 业务办理 26 条，占比 6.67%
- 工作建议 9 条，占比 2.31%

具体表格如下：

| 问题类型   | 数量 | 业务大类       | 数量 | 占比     |
|------------|------|----------------|------|----------|
|            |      | 业扩类         | 104  | 37.01%   |
|            |      | 变更类         | 41   | 14.59%   |
| 业务咨询   | 281  | 票据账单类     | 66   | 23.49%   |
|            |      | 费用类         | 21   | 7.47%    |
|            |      | 其他类         | 49   | 17.44%   |
|            |      | 业扩类         | 1    | 3.85%    |
| 业务办理   | 26   | 变更类         | 21   | 80.77%   |
|            |      | 票据账单类     | 2    | 7.69%    |
|            |      | 其他类         | 2    | 7.69%    |
|            |      | 业扩类         | 15   | 34.09%   |
| 业务进度   | 44   | 变更类         | 20   | 45.45%   |
|            |      | 票据账单类     | 2    | 4.55%    |

-1-
